SLP1	RVS	RVV	SVK	SVR	SVJ	YVVM	YVVK	YVM	YVKp	YVK	YVT	AVS	AVP	SB
a4^98~	U0905+0901+0951+096A					U0905+0901+0951+096A/U0905+0901+1CD6+096A	U0905+0901+0951+096A/U0905+0901+0952+096A		U0905+0901+0951+096A/U0905+0901+0952+096A		U0905+0901+1CDA+096A/{U0905+0901+0951+096A}	U0905+0901+0951+096A		
a4^97~	U0905+0901+096A+0951+0952					U0905+0901+1CD5+096A						U0905+0901+096A+0951+0952		
a4^87~		U0905+0901+096A	U0905+0901+A8E2+096A/U0905+0901+A8E2+A8EF+096A					U0905+0901+1CDB+096A/U0905+0901+1CD4+096A		U0905+0901+1CDD+096A			U0905+0901+1CDD+096A	
a4^87+~		U0905+0901+1CE0+096A	U0905+0901+A8E2+096A/U0905+0901+A8E2+A8EF+096A					U0905+0901+1CD8+096A		U0905+0901+1CD7+096A/U0905+0901+1CD8+096A			U0905+0901+1CD6+096A	
a4^86~		U0905+0901+0969+0952	U0905+0901+096A					U0969+0905+0901+0952+096A		U0905+0901+1CD5+096A/{U0905+0901+1CD9+096A}				
a*	U0905													
i	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907	U0907
i~	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901	U0907+0901
i/	U0907	U0907+0951	U0907+A8E1			U0907	U0907	U0907+0951	U0907	U0907+0951	U0907	U0907	U0907+0951	U0907
i/~	U0907+0901	U0907+0901+0951	U0907+0901+A8E1			U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901+0951	U0907+0901	U0907+0901	U0907+0901+0951	U0907+0901
i\	U0907+0952	U0907	U0907+A8E3			U0907+0952	U0907+0952	U0907+0952	U0907+0952	U0907+1CDC	U0907+0952	U0907+0952	U0907+1CDC	U0907+0952/U0907+1CD8/U0907+1CDE/U0907+1CDF/U0907+1CDF+1CDF
i\~	U0907+0901+0952	U0907+0901	U0907+0901+A8E3			U0907+0901+0952	U0907+0901+0952	U0907+0901+0952	U0907+0901+0952	U0907+0901+1CDC	U0907+0901+0952	U0907+0901+0952	U0907+0901+1CDC	U0907+0901+0952/U0907+0901+1CD8
